idRegistro;dtAtual;dht11_umidade;lm35_temperatura;fkSensor;;;
1;2023-11-24 00:00:00;60,6;24,89;1;;;
2;2023-11-24 00:20:00;60,6;25,86;1;;;
3;2023-11-24 00:40:00;60,6;24,89;1;;;
4;2023-11-24 01:00:00;60,6;23,91;1;;;
5;2023-11-24 01:20:00;60,6;24,4;1;;;
6;2023-11-24 01:40:00;60,6;25,86;1;;;
7;2023-11-24 02:00:00;60,6;24,4;1;;;
8;2023-11-24 02:20:00;60,6;25,38;1;;;
9;2023-11-24 02:40:00;60,6;24,89;1;;;
10;2023-11-24 03:00:00;60,6;26,35;1;;;
11;2023-11-24 03:20:00;60,6;23,91;1;;;
12;2023-11-24 03:40:00;60,6;24,89;1;;;
13;2023-11-24 04:00:00;60,6;24,4;1;;;
14;2023-11-24 04:20:00;60,6;25,38;1;;;
15;2023-11-24 04:40:00;60,6;23,91;1;;;
16;2023-11-24 05:00:00;60,6;25,38;1;;;
17;2023-11-24 05:20:00;60,6;20,01;1;;;
18;2023-11-24 05:40:00;60,6;25,86;1;;;
19;2023-11-24 06:00:00;60,6;22,45;1;;;
20;2023-11-24 06:20:00;60,6;24,89;1;;;
21;2023-11-24 06:40:00;60,6;26,84;1;;;
22;2023-11-24 07:00:00;60,6;25,86;1;;;
23;2023-11-24 07:20:00;60,6;23,91;1;;;
24;2023-11-24 07:40:00;60,6;24,89;1;;;
25;2023-11-24 08:00:00;60,6;20,5;1;;;
26;2023-11-24 08:20:00;60,6;27,82;1;;;
27;2023-11-24 08:40:00;60,6;25,38;1;;;
28;2023-11-24 09:00:00;60,6;25,38;1;;;
29;2023-11-24 09:20:00;60,6;25,38;1;;;
30;2023-11-24 09:40:00;60,6;24,89;1;;;
31;2023-11-24 10:00:00;60,6;22,94;1;;;
32;2023-11-24 10:20:00;60,6;23,91;1;;;
33;2023-11-24 10:40:00;60,6;23,91;1;;;
34;2023-11-24 11:00:00;60,6;25,38;1;;;
